data-Bird_data-Select_bird,data-Bird_data-Count,PARENT_KEY,KEY
EUAL,2,uuid:855d9069-9c6e-472c-a24f-4ffec3d9e0a5,uuid:855d9069-9c6e-472c-a24f-4ffec3d9e0a5/Bird_data[3]
ZOPA,3,uuid:855d9069-9c6e-472c-a24f-4ffec3d9e0a5,uuid:855d9069-9c6e-472c-a24f-4ffec3d9e0a5/Bird_data[4]
CUCE,5,uuid:93ceeee6-010a-480b-8150-5d1349ac1ca2,uuid:93ceeee6-010a-480b-8150-5d1349ac1ca2/Bird_data[1]
MOFA,4,uuid:93ceeee6-010a-480b-8150-5d1349ac1ca2,uuid:93ceeee6-010a-480b-8150-5d1349ac1ca2/Bird_data[2]
ZOPA,6,uuid:93ceeee6-010a-480b-8150-5d1349ac1ca2,uuid:93ceeee6-010a-480b-8150-5d1349ac1ca2/Bird_data[3]
SHAL,1,uuid:93ceeee6-010a-480b-8150-5d1349ac1ca2,uuid:93ceeee6-010a-480b-8150-5d1349ac1ca2/Bird_data[4]
EUAL,2,uuid:1307182e-ddc1-4e01-b3a2-598e15973588,uuid:1307182e-ddc1-4e01-b3a2-598e15973588/Bird_data[1]
CUCE,4,uuid:1307182e-ddc1-4e01-b3a2-598e15973588,uuid:1307182e-ddc1-4e01-b3a2-598e15973588/Bird_data[2]
FINI,2,uuid:1307182e-ddc1-4e01-b3a2-598e15973588,uuid:1307182e-ddc1-4e01-b3a2-598e15973588/Bird_data[3]
NA,0,uuid:1307182e-ddc1-4e01-b3a2-598e15973588,uuid:1307182e-ddc1-4e01-b3a2-598e15973588/Bird_data[4]
EUAL,2,uuid:367053b3-a81d-4206-9b4d-150efbdb9032,uuid:367053b3-a81d-4206-9b4d-150efbdb9032/Bird_data[1]
FINI,2,uuid:367053b3-a81d-4206-9b4d-150efbdb9032,uuid:367053b3-a81d-4206-9b4d-150efbdb9032/Bird_data[2]
NA,0,uuid:367053b3-a81d-4206-9b4d-150efbdb9032,uuid:367053b3-a81d-4206-9b4d-150efbdb9032/Bird_data[3]
SHAL,1,uuid:6487053e-940b-4065-ac13-84e01f5781ea,uuid:6487053e-940b-4065-ac13-84e01f5781ea/Bird_data[1]
EUAL,1,uuid:6487053e-940b-4065-ac13-84e01f5781ea,uuid:6487053e-940b-4065-ac13-84e01f5781ea/Bird_data[2]
MOFA,1,uuid:6487053e-940b-4065-ac13-84e01f5781ea,uuid:6487053e-940b-4065-ac13-84e01f5781ea/Bird_data[3]
MOFA,2,uuid:6de39404-59c3-40de-bada-3a54fbea1a72,uuid:6de39404-59c3-40de-bada-3a54fbea1a72/Bird_data[1]
ZOPA,3,uuid:6de39404-59c3-40de-bada-3a54fbea1a72,uuid:6de39404-59c3-40de-bada-3a54fbea1a72/Bird_data[2]
PYJO,6,uuid:6de39404-59c3-40de-bada-3a54fbea1a72,uuid:6de39404-59c3-40de-bada-3a54fbea1a72/Bird_data[3]
POHO,2,uuid:6de39404-59c3-40de-bada-3a54fbea1a72,uuid:6de39404-59c3-40de-bada-3a54fbea1a72/Bird_data[4]
NA,0,uuid:6de39404-59c3-40de-bada-3a54fbea1a72,uuid:6de39404-59c3-40de-bada-3a54fbea1a72/Bird_data[5]
EUAL,1,uuid:ebe98f54-d57c-43ed-8ba7-a62433417385,uuid:ebe98f54-d57c-43ed-8ba7-a62433417385/Bird_data[1]
MOFA,1,uuid:ebe98f54-d57c-43ed-8ba7-a62433417385,uuid:ebe98f54-d57c-43ed-8ba7-a62433417385/Bird_data[2]
FINI,2,uuid:ebe98f54-d57c-43ed-8ba7-a62433417385,uuid:ebe98f54-d57c-43ed-8ba7-a62433417385/Bird_data[3]
SHAL,1,uuid:e08f243a-3c09-446c-806d-1b75c29980e3,uuid:e08f243a-3c09-446c-806d-1b75c29980e3/Bird_data[1]
EUAL,1,uuid:e08f243a-3c09-446c-806d-1b75c29980e3,uuid:e08f243a-3c09-446c-806d-1b75c29980e3/Bird_data[2]
MOFA,2,uuid:e08f243a-3c09-446c-806d-1b75c29980e3,uuid:e08f243a-3c09-446c-806d-1b75c29980e3/Bird_data[3]
NA,0,uuid:e08f243a-3c09-446c-806d-1b75c29980e3,uuid:e08f243a-3c09-446c-806d-1b75c29980e3/Bird_data[4]
EUAL,2,uuid:95fc0907-78ab-469c-9478-900adc1fcda8,uuid:95fc0907-78ab-469c-9478-900adc1fcda8/Bird_data[1]
MOCA,4,uuid:95fc0907-78ab-469c-9478-900adc1fcda8,uuid:95fc0907-78ab-469c-9478-900adc1fcda8/Bird_data[2]
CUCE,2,uuid:95fc0907-78ab-469c-9478-900adc1fcda8,uuid:95fc0907-78ab-469c-9478-900adc1fcda8/Bird_data[3]
ZOPA,4,uuid:95fc0907-78ab-469c-9478-900adc1fcda8,uuid:95fc0907-78ab-469c-9478-900adc1fcda8/Bird_data[4]
POHO,1,uuid:95fc0907-78ab-469c-9478-900adc1fcda8,uuid:95fc0907-78ab-469c-9478-900adc1fcda8/Bird_data[5]
CUCE,1,uuid:95fc0907-78ab-469c-9478-900adc1fcda8,uuid:95fc0907-78ab-469c-9478-900adc1fcda8/Bird_data[6]
ZOPA,4,uuid:95fc0907-78ab-469c-9478-900adc1fcda8,uuid:95fc0907-78ab-469c-9478-900adc1fcda8/Bird_data[7]
EUAL,2,uuid:9d605d97-2a22-4ccf-bfc5-bfd8cfeef474,uuid:9d605d97-2a22-4ccf-bfc5-bfd8cfeef474/Bird_data[1]
ZOPA,5,uuid:9d605d97-2a22-4ccf-bfc5-bfd8cfeef474,uuid:9d605d97-2a22-4ccf-bfc5-bfd8cfeef474/Bird_data[2]
EUAL,2,uuid:9d605d97-2a22-4ccf-bfc5-bfd8cfeef474,uuid:9d605d97-2a22-4ccf-bfc5-bfd8cfeef474/Bird_data[3]
CUCE,2,uuid:9d605d97-2a22-4ccf-bfc5-bfd8cfeef474,uuid:9d605d97-2a22-4ccf-bfc5-bfd8cfeef474/Bird_data[4]
NA,0,uuid:9d605d97-2a22-4ccf-bfc5-bfd8cfeef474,uuid:9d605d97-2a22-4ccf-bfc5-bfd8cfeef474/Bird_data[5]
EUAL,1,uuid:b33ec3bc-1c28-4c45-8de2-e0d7d8554301,uuid:b33ec3bc-1c28-4c45-8de2-e0d7d8554301/Bird_data[1]
ZOPA,3,uuid:b33ec3bc-1c28-4c45-8de2-e0d7d8554301,uuid:b33ec3bc-1c28-4c45-8de2-e0d7d8554301/Bird_data[2]
POHO,4,uuid:b33ec3bc-1c28-4c45-8de2-e0d7d8554301,uuid:b33ec3bc-1c28-4c45-8de2-e0d7d8554301/Bird_data[3]
PYJO,1,uuid:b33ec3bc-1c28-4c45-8de2-e0d7d8554301,uuid:b33ec3bc-1c28-4c45-8de2-e0d7d8554301/Bird_data[4]
FINI,2,uuid:b33ec3bc-1c28-4c45-8de2-e0d7d8554301,uuid:b33ec3bc-1c28-4c45-8de2-e0d7d8554301/Bird_data[5]
EUAL,1,uuid:1a19cc62-cca8-4341-9714-0b9b5b548458,uuid:1a19cc62-cca8-4341-9714-0b9b5b548458/Bird_data[1]
FINI,2,uuid:1a19cc62-cca8-4341-9714-0b9b5b548458,uuid:1a19cc62-cca8-4341-9714-0b9b5b548458/Bird_data[2]
FINI,1,uuid:1a19cc62-cca8-4341-9714-0b9b5b548458,uuid:1a19cc62-cca8-4341-9714-0b9b5b548458/Bird_data[3]
MOFA,2,uuid:1a19cc62-cca8-4341-9714-0b9b5b548458,uuid:1a19cc62-cca8-4341-9714-0b9b5b548458/Bird_data[4]
SHAL,1,uuid:1a19cc62-cca8-4341-9714-0b9b5b548458,uuid:1a19cc62-cca8-4341-9714-0b9b5b548458/Bird_data[5]
SHAL,1,uuid:1a19cc62-cca8-4341-9714-0b9b5b548458,uuid:1a19cc62-cca8-4341-9714-0b9b5b548458/Bird_data[6]
MOFA,1,uuid:1a19cc62-cca8-4341-9714-0b9b5b548458,uuid:1a19cc62-cca8-4341-9714-0b9b5b548458/Bird_data[7]
NA,0,uuid:1a19cc62-cca8-4341-9714-0b9b5b548458,uuid:1a19cc62-cca8-4341-9714-0b9b5b548458/Bird_data[8]
SHAL,1,uuid:6a682a7b-7f46-4e62-9128-abb2b2af2cc2,uuid:6a682a7b-7f46-4e62-9128-abb2b2af2cc2/Bird_data[1]
FINI,1,uuid:6a682a7b-7f46-4e62-9128-abb2b2af2cc2,uuid:6a682a7b-7f46-4e62-9128-abb2b2af2cc2/Bird_data[2]
FINI,1,uuid:6a682a7b-7f46-4e62-9128-abb2b2af2cc2,uuid:6a682a7b-7f46-4e62-9128-abb2b2af2cc2/Bird_data[3]
EUAL,1,uuid:6a682a7b-7f46-4e62-9128-abb2b2af2cc2,uuid:6a682a7b-7f46-4e62-9128-abb2b2af2cc2/Bird_data[4]
SHAL,1,uuid:6a682a7b-7f46-4e62-9128-abb2b2af2cc2,uuid:6a682a7b-7f46-4e62-9128-abb2b2af2cc2/Bird_data[5]
MOFA,1,uuid:6a682a7b-7f46-4e62-9128-abb2b2af2cc2,uuid:6a682a7b-7f46-4e62-9128-abb2b2af2cc2/Bird_data[6]
MOFA,2,uuid:6a682a7b-7f46-4e62-9128-abb2b2af2cc2,uuid:6a682a7b-7f46-4e62-9128-abb2b2af2cc2/Bird_data[7]
ZOPA,3,uuid:6a682a7b-7f46-4e62-9128-abb2b2af2cc2,uuid:6a682a7b-7f46-4e62-9128-abb2b2af2cc2/Bird_data[8]
MOFA,1,uuid:6a682a7b-7f46-4e62-9128-abb2b2af2cc2,uuid:6a682a7b-7f46-4e62-9128-abb2b2af2cc2/Bird_data[9]
POHO,1,uuid:6a682a7b-7f46-4e62-9128-abb2b2af2cc2,uuid:6a682a7b-7f46-4e62-9128-abb2b2af2cc2/Bird_data[10]
